step 182 accepted True metropolis_acceptance 1.09727 min_1_r na mover PathSimulatorMover cv [0.440646,1.39574]
step 183 accepted True metropolis_acceptance 0.907961 min_1_r na mover PathSimulatorMover cv [0.097795,1.41151]
step 184 accepted True metropolis_acceptance 1.00055 min_1_r na mover PathSimulatorMover cv [0.0955242,1.41025]
step 185 accepted True metropolis_acceptance 1.02183 min_1_r na mover PathSimulatorMover cv [0.0358535,1.3901]
step 186 accepted True metropolis_acceptance 0.972039 min_1_r na mover PathSimulatorMover cv [0.127341,1.40947]
step 187 accepted True metropolis_acceptance 1.00775 min_1_r na mover PathSimulatorMover cv [0.0950439,1.42117]
step 188 accepted True metropolis_acceptance 0.999919 min_1_r na mover PathSimulatorMover cv [0.0948045,1.41937]
step 189 accepted True metropolis_acceptance 1.00517 min_1_r na mover PathSimulatorMover cv [0.0748226,1.39375]
step 190 accepted True metropolis_acceptance 1.00455 min_1_r na mover PathSimulatorMover cv [0.0623179,1.40869]
step 191 accepted True metropolis_acceptance 0.990186 min_1_r na mover PathSimulatorMover cv [0.0931055,1.39008]
step 192 accepted True metropolis_acceptance 1.00542 min_1_r na mover PathSimulatorMover cv [0.074729,1.40422]
step 193 accepted True metropolis_acceptance 0.998467 min_1_r na mover PathSimulatorMover cv [0.0825903,1.37443]
step 194 accepted True metropolis_acceptance 0.994837 min_1_r na mover PathSimulatorMover cv [0.098058,1.39601]
step 195 accepted True metropolis_acceptance 1.92143 min_1_r na mover PathSimulatorMover cv [0.817604,1.41112]
step 196 accepted True metropolis_acceptance 0.948253 min_1_r na mover PathSimulatorMover cv [0.791278,1.40196]
step 197 accepted True metropolis_acceptance 0.999556 min_1_r na mover PathSimulatorMover cv [0.791062,1.39994]
step 198 accepted False metropolis_acceptance 0.560857 min_1_r na mover PathSimulatorMover cv [0.791062,1.39994]
step 199 accepted True metropolis_acceptance 0.999084 min_1_r na mover PathSimulatorMover cv [0.79058,1.401]
step 200 accepted False metropolis_acceptance 0.558063 min_1_r na mover PathSimulatorMover cv [0.79058,1.401]
step 201 accepted True metropolis_acceptance 0.566878 min_1_r na mover PathSimulatorMover cv [0.0925683,1.39975]
step 202 accepted True metropolis_acceptance 0.999994 min_1_r na mover PathSimulatorMover cv [0.0925899,1.39971]
step 203 accepted True metropolis_acceptance 1.01135 min_1_r na mover PathSimulatorMover cv [0.0677163,1.44114]
step 204 accepted True metropolis_acceptance 1.00073 min_1_r na mover PathSimulatorMover cv [0.0568654,1.39698]
step 205 accepted True metropolis_acceptance 0.988482 min_1_r na mover PathSimulatorMover cv [0.0923178,1.38805]
step 206 accepted True metropolis_acceptance 1.00904 min_1_r na mover PathSimulatorMover cv [0.0649072,1.41436]
step 207 accepted True metropolis_acceptance 1.00141 min_1_r na mover PathSimulatorMover cv [0.0604206,1.40977]
step 208 accepted True metropolis_acceptance 0.995139 min_1_r na mover PathSimulatorMover cv [0.0737128,1.40097]
step 209 accepted True metropolis_acceptance 0.995798 min_1_r na mover PathSimulatorMover cv [0.0875551,1.39524]
step 210 accepted True metropolis_acceptance 1.23253 min_1_r na mover PathSimulatorMover cv [0.549804,1.40122]
step 211 accepted True metropolis_acceptance 0.997524 min_1_r na mover PathSimulatorMover cv [0.547666,1.39404]
step 212 accepted False metropolis_acceptance 0.893369 min_1_r na mover PathSimulatorMover cv [0.547666,1.39404]
step 213 accepted True metropolis_acceptance 1.36969 min_1_r na mover PathSimulatorMover cv [0.760752,1.41176]
step 214 accepted True metropolis_acceptance 0.602937 min_1_r na mover PathSimulatorMover cv [0.0853865,1.42324]
step 215 accepted True metropolis_acceptance 0.998247 min_1_r na mover PathSimulatorMover cv [0.0895188,1.41639]
step 216 accepted True metropolis_acceptance 1.00001 min_1_r na mover PathSimulatorMover cv [0.0895435,1.41658]
step 217 accepted True metropolis_acceptance 0.998277 min_1_r na mover PathSimulatorMover cv [0.0936552,1.40103]
step 218 accepted True metropolis_acceptance 1.00248 min_1_r na mover PathSimulatorMover cv [0.0857795,1.41012]
step 219 accepted True metropolis_acceptance 0.988984 min_1_r na mover PathSimulatorMover cv [0.135849,1.40092]
step 220 accepted True metropolis_acceptance 1.01161 min_1_r na mover PathSimulatorMover cv [0.0835845,1.39207]
step 221 accepted True metropolis_acceptance 1.00012 min_1_r na mover PathSimulatorMover cv [0.0832429,1.39146]
step 222 accepted True metropolis_acceptance 0.995067 min_1_r na mover PathSimulatorMover cv [0.101435,1.40537]
step 223 accepted True metropolis_acceptance 1.00175 min_1_r na mover PathSimulatorMover cv [0.0942813,1.39492]
step 224 accepted True metropolis_acceptance 1.01571 min_1_r na mover PathSimulatorMover cv [0.0492207,1.38095]
step 225 accepted True metropolis_acceptance 0.993184 min_1_r na mover PathSimulatorMover cv [0.0659347,1.39558]
step 226 accepted True metropolis_acceptance 0.995177 min_1_r na mover PathSimulatorMover cv [0.0808262,1.39523]
step 227 accepted True metropolis_acceptance 0.999992 min_1_r na mover PathSimulatorMover cv [0.080862,1.39503]
step 228 accepted True metropolis_acceptance 1.00219 min_1_r na mover PathSimulatorMover cv [0.0737158,1.39763]
step 229 accepted True metropolis_acceptance 0.997853 min_1_r na mover PathSimulatorMover cv [0.0807408,1.3956]
step 230 accepted True metropolis_acceptance 1.00117 min_1_r na mover PathSimulatorMover cv [0.0768476,1.39587]
step 231 accepted True metropolis_acceptance 0.985516 min_1_r na mover PathSimulatorMover cv [0.16857,1.39152]
step 232 accepted True metropolis_acceptance 0.999958 min_1_r na mover PathSimulatorMover cv [0.168932,1.39323]
step 233 accepted True metropolis_acceptance 1.01052 min_1_r na mover PathSimulatorMover cv [0.0916009,1.39569]
step 234 accepted True metropolis_acceptance 1.0034 min_1_r na mover PathSimulatorMover cv [0.0794111,1.39429]
step 235 accepted True metropolis_acceptance 1.00166 min_1_r na mover PathSimulatorMover cv [0.078166,1.42542]
step 236 accepted True metropolis_acceptance 0.991775 min_1_r na mover PathSimulatorMover cv [0.105749,1.40319]
step 237 accepted True metropolis_acceptance 1.00047 min_1_r na mover PathSimulatorMover cv [0.104391,1.40955]
step 238 accepted True metropolis_acceptance 0.999356 min_1_r na mover PathSimulatorMover cv [0.106443,1.39862]
step 239 accepted True metropolis_acceptance 0.999543 min_1_r na mover PathSimulatorMover cv [0.108719,1.39859]
step 240 accepted True metropolis_acceptance 1.01007 min_1_r na mover PathSimulatorMover cv [0.0699607,1.39597]
step 241 accepted True metropolis_acceptance 0.993637 min_1_r na mover PathSimulatorMover cv [0.0925193,1.39774]
step 242 accepted True metropolis_acceptance 1.00519 min_1_r na mover PathSimulatorMover cv [0.0744145,1.40938]
step 243 accepted True metropolis_acceptance 1.00002 min_1_r na mover PathSimulatorMover cv [0.074322,1.40924]
step 244 accepted True metropolis_acceptance 1.00057 min_1_r na mover PathSimulatorMover cv [0.0722214,1.40715]
step 245 accepted True metropolis_acceptance 1.00763 min_1_r na mover PathSimulatorMover cv [0.0498894,1.40614]
step 246 accepted True metropolis_acceptance 0.987723 min_1_r na mover PathSimulatorMover cv [0.0932014,1.42243]
step 247 accepted True metropolis_acceptance 0.99798 min_1_r na mover PathSimulatorMover cv [0.229584,1.42538]
step 248 accepted True metropolis_acceptance 1.00011 min_1_r na mover PathSimulatorMover cv [0.230093,1.42549]
step 249 accepted True metropolis_acceptance 0.999233 min_1_r na mover PathSimulatorMover cv [0.130808,1.45023]
step 250 accepted True metropolis_acceptance 1.0003 min_1_r na mover PathSimulatorMover cv [0.130727,1.45179]
step 251 accepted True metropolis_acceptance 0.996402 min_1_r na mover PathSimulatorMover cv [0.212627,1.39804]
step 252 accepted True metropolis_acceptance 1.00246 min_1_r na mover PathSimulatorMover cv [0.107641,1.4074]
step 253 accepted True metropolis_acceptance 1.00169 min_1_r na mover PathSimulatorMover cv [0.0999244,1.41095]
step 254 accepted True metropolis_acceptance 1.0085 min_1_r na mover PathSimulatorMover cv [0.0684139,1.38586]
step 255 accepted True metropolis_acceptance 0.999416 min_1_r na mover PathSimulatorMover cv [0.0709678,1.38215]
step 256 accepted True metropolis_acceptance 1.34846 min_1_r na mover PathSimulatorMover cv [0.608813,1.39395]
step 257 accepted False metropolis_acceptance 0.927734 min_1_r na mover PathSimulatorMover cv [0.608813,1.39395]
